,Region,Year,Average BMI (kg/m²)
137,Europe,1986,24.756862745098044
138,Europe,1987,24.805882352941175
139,Europe,1988,24.8686274509804
140,Europe,1989,24.91960784313726
141,Europe,1990,24.976470588235294
142,Europe,1991,25.029411764705888
143,Europe,1992,25.094117647058823
144,Europe,1993,25.141176470588228
145,Europe,1994,25.192156862745094
146,Europe,1995,25.25098039215688
147,Europe,1996,25.3078431372549
148,Europe,1997,25.370588235294118
149,Europe,1998,25.433333333333326
150,Europe,1999,25.49607843137255
151,Europe,2000,25.564705882352946
152,Europe,2001,25.617647058823533
153,Europe,2002,25.6921568627451
154,Europe,2003,25.756862745098037
155,Europe,2004,25.82156862745098
156,Europe,2005,25.880392156862733
157,Europe,2006,25.95098039215686
158,Europe,2007,26.001960784313734
159,Europe,2008,26.060784313725485
160,Europe,2009,26.129411764705885
161,Europe,2010,26.176470588235286
162,Europe,2011,26.237254901960785
163,Europe,2012,26.284313725490193
164,Europe,2013,26.329411764705874
165,Europe,2014,26.384313725490184
166,Europe,2015,26.439215686274512
167,Europe,2016,26.496078431372542
168,South-East Asia,1975,19.199999999999996
169,South-East Asia,1976,19.290909090909093
170,South-East Asia,1977,19.400000000000002
171,South-East Asia,1978,19.499999999999996
172,South-East Asia,1979,19.61818181818182
173,South-East Asia,1980,19.700000000000003
174,South-East Asia,1981,19.799999999999997
175,South-East Asia,1982,19.909090909090907
176,South-East Asia,1983,20.009090909090908
177,South-East Asia,1984,20.099999999999998
178,South-East Asia,1985,20.200000000000003
179,South-East Asia,1986,20.3
180,South-East Asia,1987,20.39090909090909
181,South-East Asia,1988,20.490909090909092
182,South-East Asia,1989,20.581818181818182
183,South-East Asia,1990,20.663636363636364
184,South-East Asia,1991,20.745454545454542
185,South-East Asia,1992,20.836363636363636
186,South-East Asia,1993,20.91818181818182
187,South-East Asia,1994,21.018181818181816
188,South-East Asia,1995,21.099999999999998
189,South-East Asia,1996,21.2
190,South-East Asia,1997,21.28181818181818
191,South-East Asia,1998,21.354545454545455
192,South-East Asia,1999,21.454545454545453
193,South-East Asia,2000,21.554545454545455
194,South-East Asia,2001,21.654545454545453
195,South-East Asia,2002,21.727272727272727
196,South-East Asia,2003,21.80909090909091
197,South-East Asia,2004,21.918181818181814
198,South-East Asia,2005,22.009090909090915
199,South-East Asia,2006,22.1
200,South-East Asia,2007,22.181818181818183
201,South-East Asia,2008,22.28181818181818
202,South-East Asia,2009,22.38181818181818
203,South-East Asia,2010,22.490909090909092
204,South-East Asia,2011,22.58181818181818
205,South-East Asia,2012,22.69090909090909
206,South-East Asia,2013,22.790909090909093
207,South-East Asia,2014,22.89090909090909
208,South-East Asia,2015,22.990909090909096
209,South-East Asia,2016,23.09090909090909
210,Western Pacific,1975,23.507407407407406
211,Western Pacific,1976,23.644444444444442
212,Western Pacific,1977,23.76666666666667
213,Western Pacific,1978,23.87777777777778
214,Western Pacific,1979,24.014814814814812
215,Western Pacific,1980,24.14074074074074
216,Western Pacific,1981,24.25185185185185
217,Western Pacific,1982,24.366666666666667
218,Western Pacific,1983,24.4962962962963
219,Western Pacific,1984,24.618518518518524
220,Western Pacific,1985,24.737037037037027
221,Western Pacific,1986,24.85925925925926
222,Western Pacific,1987,24.95555555555556
223,Western Pacific,1988,25.077777777777776
224,Western Pacific,1989,25.192592592592593
225,Western Pacific,1990,25.300000000000004
226,Western Pacific,1991,25.39259259259259
227,Western Pacific,1992,25.496296296296297
228,Western Pacific,1993,25.592592592592602
229,Western Pacific,1994,25.685185185185187
230,Western Pacific,1995,25.76296296296297
231,Western Pacific,1996,25.83703703703704
232,Western Pacific,1997,25.918518518518518
